date,exchange_rate
2009-01-02,0
2009-03-01,0
2009-03-13,0
2010-02-01,0
2010-07-17,0.09
2010-09-13,0.06
2010-10-08,0.06
2010-11-06,0.25
2010-12-29,0.3
2011-01-03,0.3
2011-01-09,0.32
2011-02-01,0.36
2011-02-09,0.82
2011-02-14,0.93
2011-03-01,0.89
2011-04-01,0.73
2011-05-01,3.12
2011-06-01,10.99
2011-07-01,14.4
2011-08-01,11.31
2011-09-01,5.81
2011-10-01,4.85
2011-10-03,4.45
2011-11-01,3.17
2011-11-07,3.18
2011-11-14,2.46
2011-12-01,3.04
2012-01-01,5.17
2012-01-11,7.1
2012-02-01,5.63
2012-03-01,4.89
2012-04-01,4.86
2012-05-01,5.09
2012-06-01,5.27
2012-07-01,6.76
2012-08-01,10.68
2012-09-01,11.49
2012-10-01,12.33
2012-11-01,10.99
2012-12-01,13.44
2013-01-01,13.3
2013-02-01,20.41
2013-03-01,34.14
2013-04-01,93.55
2013-04-09,141
2013-05-01,116.99
2013-06-01,128.7
2013-07-01,91.84
2013-08-01,105.21
2013-09-01,140.79
2013-10-01,123.33
2013-11-01,202.9
2013-11-18,612.88
2013-12-01,1079.48
2014-01-01,771
2014-02-01,870.6
2014-03-01,629.04
2014-04-01,447.98
2014-05-01,448.08
2014-06-01,631.92
2014-07-01,627.06
2014-08-01,516.22
2014-09-01,475.79
2014-10-01,356.27
2014-11-01,327.37
2014-12-01,378.05
2015-01-01,314.93
2015-02-01,226.35
2015-03-01,255.37
2015-04-01,244.19
2015-05-01,234.19
2015-06-01,224.28
2015-07-01,262.9
2015-08-01,283.56
2015-09-01,230.65
2015-10-01,235.66
2015-11-01,313.95
2015-12-01,377.48
2016-01-01,434.46
2016-02-01,371.04
2016-03-01,418.56
2016-04-01,416.75
2016-05-01,451.33
2016-06-01,531.58
2016-07-01,672.7
2016-08-01,576.01
2016-09-01,572.33
2016-10-01,610.31
2016-11-01,721.07
2016-12-01,749.49
2017-01-01,963.66
2017-02-01,1007.73
2017-03-01,1190.78
2017-04-01,1069.59
2017-05-01,1348.26
2017-06-01,2420.87
2017-07-01,2506.39
2017-08-01,2871.3
2017-09-01,4748.26
2017-10-01,4341.05
2017-11-01,6369.2
2017-12-01,10859.56
2018-01-01,13412.44
2018-02-01,10221.13
2018-03-01,10924.15
2018-04-01,6938.22
2018-05-01,9223.26
2018-06-01,7488.4
2018-07-01,6404.07
2018-08-01,7726.15
2018-09-01,7041.82
2018-10-01,6617.15
2018-11-01,6354.81
2018-12-01,4023.93
2019-01-01,3689.76
2019-02-01,3441.03
2019-03-01,3814.23
2019-04-01,4099.74
2019-05-01,5304.87
2019-06-01,8555.27
2019-07-01,10577.81
2019-08-01,10203.59
2019-09-01,9626.18
2019-10-01,8300.33
2019-11-01,9158.01
2019-12-01,7533.52
2020-01-01,7200.17
2020-02-01,9352.64
2020-03-01,8810.88
2020-04-01,6430.28
2020-05-01,8672.46
2020-06-01,9658.28
2020-07-01,9186.88
2020-08-01,11755.26
2020-09-01,11655.68
2020-10-01,10767.44
2020-11-01,13764.08
2020-12-01,19188.53
2021-01-01,29391.78
2021-02-01,33526.53
2021-03-01,45137.77
2021-04-01,58726.44
2021-05-01,57661.44
2021-06-01,37293.79
2021-07-01,33555.55
2021-08-01,39861.28
2021-09-01,47099.8
2021-10-01,43820.01
2021-11-01,61318.96
2021-12-01,57133.51
2022-01-01,46189.17
2022-02-01,38440.84
2022-03-29,47398.67
